#city state type lat lng population
Eureka CA LOCAL 40.79 -124.16 73984
Denver CO METRO 39.76 -104.88 4324322
Mansfield OH LOCAL 40.77 -82.53 82303
McMinnville OR LOCAL 45.21 -123.19 58142
Wenatchee WA LOCAL 47.44 -120.33 71119
Spring_Hill FL LOCAL 28.48 -82.53 181536
Johnson_City TN LOCAL 36.34 -82.38 126265
Fayetteville AR LOCAL 36.07 -94.17 438594
Grand_Rapids MI METRO 42.96 -85.66 874942
Laredo TX LOCAL 27.56 -99.49 262774
Jonesboro AR LOCAL 35.82 -90.68 73631
Bakersfield CA METRO 35.35 -119.04 928785
Gainesville GA LOCAL 34.29 -83.83 147403
Monroe LA LOCAL 32.52 -92.08 141532
Huntsville AL LOCAL 34.70 -86.64 375516
Rochester NY METRO 43.17 -77.62 744601
Jamestown NY LOCAL 42.10 -79.24 51413
Macon GA LOCAL 32.81 -83.70 153026
Jacksonville NC LOCAL 34.73 -77.39 130583
Pensacola FL LOCAL 30.44 -87.19 823297
Sioux_Falls SD LOCAL 43.54 -96.73 183951
Fairbanks AK LOCAL 64.84 -147.65 103693
Austin TX METRO 30.30 -97.75 2232597
St_Cloud MN LOCAL 45.53 -94.17 151745
Seattle WA METRO 47.62 -122.32 5247550
Farmington NM LOCAL 36.76 -108.18 67813
Visalia CA LOCAL 36.33 -119.33 451664
Portland OR METRO 45.54 -122.65 3382637
New_Brunswick NJ LOCAL 40.49 -74.44 417359
Billings MT LOCAL 45.79 -108.55 131596
Decatur AL LOCAL 34.57 -86.99 84131
State_College PA LOCAL 40.79 -77.86 98018
Anderson SC LOCAL 34.52 -82.65 103479
Portland ME LOCAL 43.68 -70.27 258586
Las_Cruces NM LOCAL 32.33 -106.79 176699
Holland MI LOCAL 42.77 -86.10 160093
Newark OH LOCAL 40.07 -82.43 105045
Mobile AL LOCAL 30.68 -88.12 382208
Juana_Diaz PR LOCAL 18.05 -66.50 71759
Valdosta GA LOCAL 30.85 -83.28 87579
Ponce PR LOCAL 18.01 -66.62 118641
Kalamazoo MI LOCAL 42.27 -85.59 279032
Lancaster OH LOCAL 39.72 -82.60 61695
Aiken SC LOCAL 33.53 -81.73 54798
Oshkosh WI LOCAL 44.02 -88.56 138568
Terre_Haute IN LOCAL 39.47 -87.38 93247
Rocky_Mount NC LOCAL 35.97 -77.80 61952
Houston TX METRO 29.79 -95.39 7076319
Kennewick WA LOCAL 46.20 -119.17 313071
Redding CA LOCAL 40.57 -122.36 141084
The_Woodlands TX LOCAL 30.17 -95.51 390043
Thibodaux LA LOCAL 29.79 -90.81 53374
New_York NY METRO 40.69 -73.92 33386978
Owensboro KY LOCAL 37.76 -87.12 73115
Tooele UT LOCAL 40.54 -112.31 56072
Longview TX LOCAL 32.52 -94.76 113599
Cincinnati OH METRO 39.14 -84.51 2336105
Aguadilla PR LOCAL 18.44 -67.15 260331
Knoxville TN METRO 35.97 -83.95 649388
Hartford CT METRO 41.77 -72.68 1136541
Rome GA LOCAL 34.27 -85.19 66998
Cleveland TN LOCAL 35.18 -84.87 80381
Evans GA LOCAL 33.56 -82.14 88132
Wheeling WV LOCAL 40.08 -80.70 75065
Spartanburg SC LOCAL 34.94 -81.93 233243
Reno NV LOCAL 39.55 -119.85 600305
Dale_City VA LOCAL 38.65 -77.35 348068
Charlotte NC METRO 35.21 -80.83 2521855
Asheville NC LOCAL 35.57 -82.55 327484
Saginaw MI LOCAL 43.42 -83.95 139413
Abilene TX LOCAL 32.45 -99.74 110993
Coeur_d'Alene ID LOCAL 47.70 -116.79 173572
Fajardo PR LOCAL 18.33 -65.66 75549
Parkersburg WV LOCAL 39.26 -81.54 78478
Allentown PA METRO 40.60 -75.48 871339
Vineland NJ LOCAL 39.47 -75.00 119849
Great_Falls MT LOCAL 47.50 -111.30 62112
Kankakee IL LOCAL 41.10 -87.86 125575
Columbus OH METRO 39.99 -82.99 1974379
Odessa TX LOCAL 31.88 -102.34 168698
Lawton OK LOCAL 34.62 -98.42 90487
Rapid_City SD LOCAL 44.07 -103.22 108096
Marysville WA LOCAL 48.08 -122.16 815553
Syracuse NY LOCAL 43.04 -76.14 449582
Muskegon MI LOCAL 43.23 -86.26 199428
Victoria TX LOCAL 28.83 -96.98 66427
Gulfport MS LOCAL 30.43 -89.07 305793
Fort_Wayne IN LOCAL 41.09 -85.14 352328
La_Crosse WI LOCAL 43.82 -91.23 128064
Stillwater OK LOCAL 36.13 -97.07 57942
Huntington WV LOCAL 38.41 -82.43 205987
Wilmington DE LOCAL 39.74 -75.54 241576
Scranton PA LOCAL 41.40 -75.66 417228
Sioux_City IA LOCAL 42.50 -96.39 107932
Crystal_Lake IL LOCAL 42.23 -88.34 221955
Providence RI METRO 41.82 -71.42 1576173
Suffolk VA LOCAL 36.70 -76.64 91383
